FIPS,State,County,Population_2023
5123,AR,St. Francis County,22101.0
5125,AR,Saline County,129574.0
5127,AR,Scott County,9851.0
5129,AR,Searcy County,7806.0
5131,AR,Sebastian County,129098.0
5133,AR,Sevier County,15632.0
5135,AR,Sharp County,17968.0
5137,AR,Stone County,12671.0
5139,AR,Union County,37397.0
5141,AR,Van Buren County,16142.0
5143,AR,Washington County,261549.0
5145,AR,White County,78452.0
5147,AR,Woodruff County,5964.0
5149,AR,Yell County,20044.0
6000,CA,California,38965193.0
6001,CA,Alameda County,1622188.0
6003,CA,Alpine County,1141.0
6005,CA,Amador County,41811.0
6007,CA,Butte County,207172.0
6009,CA,Calaveras County,46565.0
6011,CA,Colusa County,22037.0
6013,CA,Contra Costa County,1155025.0
6015,CA,Del Norte County,26589.0
6017,CA,El Dorado County,192215.0
6019,CA,Fresno County,1017162.0
6021,CA,Glenn County,28129.0
6023,CA,Humboldt County,133985.0
6025,CA,Imperial County,179057.0
6027,CA,Inyo County,18527.0
6029,CA,Kern County,913820.0
6031,CA,Kings County,152682.0
6033,CA,Lake County,67878.0
6035,CA,Lassen County,28861.0
6037,CA,Los Angeles County,9663345.0
6039,CA,Madera County,162858.0
6041,CA,Marin County,254407.0
6043,CA,Mariposa County,16919.0
6045,CA,Mendocino County,89108.0
6047,CA,Merced County,291920.0
6049,CA,Modoc County,8500.0
6051,CA,Mono County,13066.0
6053,CA,Monterey County,430723.0
6055,CA,Napa County,133216.0
6057,CA,Nevada County,102037.0
6059,CA,Orange County,3135755.0
6061,CA,Placer County,423561.0
6063,CA,Plumas County,19131.0
6065,CA,Riverside County,2492442.0
6067,CA,Sacramento County,1584288.0
6069,CA,San Benito County,68175.0
6071,CA,San Bernardino County,2195611.0
6073,CA,San Diego County,3269973.0
6075,CA,San Francisco County,808988.0
6077,CA,San Joaquin County,800965.0
6079,CA,San Luis Obispo County,281639.0
6081,CA,San Mateo County,726353.0
6083,CA,Santa Barbara County,441257.0
6085,CA,Santa Clara County,1877592.0
6087,CA,Santa Cruz County,261547.0
6089,CA,Shasta County,180366.0
6091,CA,Sierra County,3200.0
6093,CA,Siskiyou County,42905.0
6095,CA,Solano County,449218.0
6097,CA,Sonoma County,481812.0
6099,CA,Stanislaus County,551430.0
6101,CA,Sutter County,97948.0
6103,CA,Tehama County,64896.0
6105,CA,Trinity County,15670.0
6107,CA,Tulare County,479468.0
6109,CA,Tuolumne County,54204.0
6111,CA,Ventura County,829590.0
6113,CA,Yolo County,220544.0
6115,CA,Yuba County,85722.0
8000,CO,Colorado,5877610.0
8001,CO,Adams County,533365.0
8003,CO,Alamosa County,16655.0
8005,CO,Arapahoe County,656061.0
8007,CO,Archuleta County,14189.0
8009,CO,Baca County,3344.0
8011,CO,Bent County,5681.0
8013,CO,Boulder County,326831.0
8014,CO,Broomfield County,76860.0
8015,CO,Chaffee County,20617.0
8017,CO,Cheyenne County,1727.0
8019,CO,Clear Creek County,9147.0
8021,CO,Conejos County,7521.0
8023,CO,Costilla County,3628.0
8025,CO,Crowley County,5636.0
8027,CO,Custer County,5534.0
8029,CO,Delta County,31746.0
8031,CO,Denver County,716577.0
8033,CO,Dolores County,2513.0
8035,CO,Douglas County,383906.0
8037,CO,Eagle County,54381.0
8039,CO,Elbert County,28806.0
8041,CO,El Paso County,744215.0
8043,CO,Fremont County,50318.0
8045,CO,Garfield County,62707.0
8047,CO,Gilpin County,5926.0
8049,CO,Grand County,15935.0
8051,CO,Gunnison County,17321.0
8053,CO,Hinsdale County,765.0
8055,CO,Huerfano County,7055.0
8057,CO,Jackson County,1309.0
8059,CO,Jefferson County,576366.0
8061,CO,Kiowa County,1384.0
